	TVF.2004.Loc4.D10.Rep1.414474	sp1565.486407	sp0193.486346	SE.20100928.GY.NF008.BC.093.a.673660	E3E04.826190	sp1017.486420	ANT04.S2M1.607431	UQ288.591065	sp0759.486364	nest.WY.2008.3.712186.739059	SE.20101009.GY.ALTFF002.BC.225.415346	1204BCDNA.486523	Zambon.Leftpalm.983763	H55Kc.735962	Myr.tri.Seat.4.03H10.653706	10.8.12.rk.st.0800.1123130	EM086.441698	C.3037.01.S1.405123	NA.15.T0.830848	soil1.T3U1.536591	SSBE21Aug08.618423	Turkey.Stool.983766	TBH12Aug08.618303	P.Dois.Rios.SB.414865	H60Do.735986	SPM1x040108.142616	L08A095.799873	F31Forr.140586	B.2004.01.S1.405609	PM8x30308.142380	TS152.2.299097	SPM1x030408.142594	S00305.543918	must.18.1128116	F32Hair.140769	CBE09Aug07.617917	TS1.2.299121	HI.20.35e.2.281673	FL.3.26a.1.281867	cf1170.632724	FL.3.32a.3.281781	M11Nstl.140810	21.ill.mucosa.WT.676371	Calh5.385340	CU3258.141544	50.col.lumen.TG.676359	fut2negative.day56.70.Regular.1004900	cf1126.633182	6b3f4f4e221ccf8bbfc57e52791ed288	42265f3f55dd9c4c9b4feaee53b1f4fc	mf2188.633126	9f400082bffeb4494d4497ef084ffe94	B26.737560	75f78e4c6e0dc6e4a62f570c1bc9a339	b76ecf3dd46fcab94418c68c6fcd8ada	920cce1ef960ffc7343eb5628636a37e	bb08145b2a3724c42967dc2dbdab5c3b	ME10May08EB1R1.486639	4d366f8db0835339ed3c686415599480	WT07L.478428
TBH12Aug08.618303	0.657589	0.713883	0.718817	0.540188	0.60881	0.644554	0.550795	0.724599	0.684086	0.574046	0.483557	0.621285	0.883912	0.633109	0.630708	0.88365	0.846764	0.950064	0.841284	0.584659	0.416751	0.762853	0.0	0.523609	0.715326	0.86906	0.602301	0.677552	0.866127	0.747214	0.819847	0.824573	0.771534	0.718732	0.731464	0.622581	0.80286	0.557185	0.669969	0.823323	0.558332	0.604972	0.766683	0.626998	0.467473	0.956003	0.883909	0.776143	0.426661	0.479478	0.771288	0.594794	0.521587	1.075917	0.833419	0.50187	0.614637	0.704742	0.622814	0.882166
P.Dois.Rios.SB.414865	0.565182	0.642516	0.644508	0.507485	0.594553	0.649721	0.509562	0.664672	0.607821	0.555305	0.42348	0.595446	0.827631	0.59369	0.580539	0.867651	0.801707	0.909579	0.783323	0.55739	0.560302	0.70804	0.523609	0.0	0.658549	0.824003	0.57511	0.693161	0.82107	0.702157	0.77479	0.779516	0.726233	0.749661	0.744431	0.61274	0.723219	0.537202	0.606456	0.778266	0.516805	0.565659	0.730602	0.556091	0.586756	0.899722	0.838852	0.723546	0.601652	0.361577	0.717811	0.543543	0.523132	1.041366	0.762606	0.525535	0.617088	0.676141	0.586733	0.870739
H60Do.735986	0.712985	0.744397	0.685709	0.699538	0.810142	0.780946	0.655479	0.842713	0.752372	0.55301	0.666359	0.645239	0.663952	0.732815	0.682586	0.650124	0.555072	0.843668	0.626204	0.640911	0.704691	0.628653	0.715326	0.658549	0.0	0.598478	0.690107	0.823122	0.649797	0.539168	0.646351	0.543269	0.7786	0.898194	0.898854	0.796327	0.704328	0.589073	0.749561	0.653937	0.52956	0.74772	0.720623	0.633282	0.703999	0.757577	0.658639	0.610677	0.791731	0.652578	0.541362	0.711738	0.655911	1.250995	0.623097	0.732744	0.743101	0.754948	0.68834	0.900124
SPM1x040108.142616	0.866043	0.725271	0.841299	0.892968	0.963876	0.70321	0.809213	0.934165	0.710056	0.761308	0.864133	0.889157	0.439742	0.887365	0.87188	0.328508	0.359824	0.692554	0.547428	0.817615	0.934629	0.658611	0.86906	0.824003	0.598478	0.0	0.784855	0.98126	0.557981	0.399008	0.430503	0.304591	0.843158	1.015068	0.994476	0.910863	0.696088	0.894341	0.891077	0.652493	0.812544	0.88534	0.714459	0.87374	0.857733	0.450149	0.467255	0.555309	0.945465	0.791954	0.55003	0.849358	0.896619	1.389985	0.655493	0.886478	0.969413	0.726548	0.751288	0.722618
L08A095.799873	0.567126	0.730298	0.606246	0.639949	0.668035	0.642767	0.540242	0.655886	0.713241	0.491545	0.649832	0.692202	0.781351	0.670766	0.545271	0.833075	0.762559	0.903507	0.625569	0.469736	0.64578	0.714424	0.602301	0.57511	0.690107	0.784855	0.0	0.713267	0.781922	0.642909	0.735642	0.730318	0.648587	0.747503	0.633419	0.608498	0.768331	0.575402	0.624596	0.741484	0.512185	0.527243	0.744258	0.586811	0.540432	0.836814	0.80199	0.616532	0.741616	0.566881	0.684319	0.620979	0.640324	1.171444	0.796362	0.648605	0.65573	0.518717	0.558857	0.864667
F31Forr.140586	0.742759	0.880985	0.859881	0.69642	0.78072	0.824674	0.772621	0.805055	0.870298	0.73285	0.654499	0.819805	0.996952	0.752169	0.759898	1.03949	0.958964	1.059978	0.954324	0.778595	0.742609	0.937345	0.677552	0.693161	0.823122	0.98126	0.713267	0.0	0.978327	0.859414	0.932047	0.936773	0.842998	0.20719	0.78247	0.766041	0.892672	0.690205	0.716533	0.935523	0.727788	0.760682	0.837307	0.681452	0.735959	1.069043	0.996109	0.889183	0.760023	0.62171	0.923826	0.762388	0.687035	1.174863	0.919863	0.701036	0.785777	0.817782	0.693438	1.03572
B.2004.01.S1.405609	0.858538	0.864042	0.838366	0.890035	0.960943	0.841981	0.80628	0.92666	0.848827	0.758375	0.8612	0.886224	0.401907	0.884432	0.865225	0.770847	0.421887	0.813295	0.636657	0.814682	0.931696	0.748204	0.866127	0.82107	0.649797	0.557981	0.781922	0.978327	0.0	0.431515	0.4543	0.442734	0.813433	1.012135	0.986971	0.903358	0.442901	0.891408	0.883572	0.429556	0.809611	0.880121	0.587848	0.870807	0.8548	0.819498	0.612168	0.534698	0.942532	0.789021	0.514449	0.844139	0.893686	1.387052	0.430244	0.883545	0.96648	0.784103	0.715279	0.942373
PM8x30308.142380	0.741911	0.674277	0.719453	0.771122	0.84203	0.652216	0.687367	0.810033	0.659062	0.629412	0.742287	0.767311	0.395398	0.695063	0.729934	0.571242	0.369378	0.618124	0.473878	0.685719	0.812783	0.579093	0.747214	0.702157	0.539168	0.399008	0.642909	0.859414	0.431515	0.0	0.342309	0.404171	0.634318	0.893222	0.870344	0.786731	0.576558	0.772495	0.766945	0.490921	0.690698	0.741108	0.539471	0.751894	0.735887	0.629851	0.399711	0.360365	0.823619	0.670108	0.387992	0.725226	0.774773	1.268139	0.562235	0.764632	0.847567	0.604702	0.592804	0.744756
TS152.2.299097	0.81683	0.676058	0.792086	0.843755	0.914663	0.653997	0.76	0.884952	0.660843	0.712095	0.81492	0.839944	0.383159	0.838152	0.818945	0.604399	0.425293	0.589521	0.520031	0.768402	0.885416	0.732074	0.819847	0.77479	0.646351	0.430503	0.735642	0.932047	0.4543	0.342309	0.0	0.535456	0.785977	0.965855	0.945263	0.86165	0.568221	0.845128	0.841864	0.48771	0.763331	0.836127	0.673292	0.824527	0.80852	0.662818	0.412034	0.412532	0.896252	0.742741	0.535851	0.784173	0.847406	1.340772	0.630756	0.837265	0.9202	0.677335	0.702075	0.738181
SPM1x030408.142594	0.816984	0.822488	0.796812	0.848481	0.919389	0.800427	0.764726	0.885106	0.807273	0.706771	0.819646	0.84467	0.459983	0.824048	0.813621	0.529939	0.357897	0.834797	0.604415	0.763078	0.890142	0.583604	0.824573	0.779516	0.543269	0.304591	0.730318	0.936773	0.442734	0.404171	0.535456	0.0	0.749327	0.970581	0.945417	0.861804	0.574531	0.849854	0.842018	0.455352	0.768057	0.828517	0.574744	0.829253	0.813246	0.677112	0.522604	0.435034	0.900978	0.747467	0.476855	0.802585	0.852132	1.345498	0.494544	0.841991	0.924926	0.742549	0.663675	0.868179
