Chafron_OTU	GreenGenes_13_5
otu_b1111	617242
otu_b111113	365866
otu_b111162	191913
otu_b111184	263120
otu_b111291	357412
otu_b1113	323954
otu_b111431	4446898
otu_b111433	166164
otu_b111442	191531
otu_b111477	191483
otu_b111484	4331364
otu_b111515	199065
otu_b111518	174882
otu_b111525	3563235
otu_b111548	191369
otu_b111663	107044
otu_b111681	180665
otu_b111695	2565100
otu_b11172	277037
otu_b111723	191110
otu_b111726	191103
otu_b111729	367946
otu_b111770	535375
otu_b111779	187153
otu_b11183	278301
otu_b11184	791178
otu_b111849	192720
otu_b11186	88266
otu_b111923	190815
otu_b11199	140401
otu_b111992	190708
otu_b112015	190676
otu_b112016	190675
otu_b112035	4328550
otu_b112040	190635
otu_b11205	46641
otu_b112114	192514
otu_b112149	4342682
otu_b112168	359120
otu_b112169	176450
otu_b112180	72420
otu_b1122	368134
otu_b11220	169897
otu_b112209	187891
otu_b112212	714794
otu_b112214	190361
otu_b11222	2170756
otu_b112227	140880
otu_b112230	193601
otu_b112322	2256427
otu_b11233	308893
otu_b1124	4342039
otu_b112417	181797
otu_b11244	347349
otu_b112451	180328
otu_b112468	177742
otu_b1125	280459
otu_b11255	342876
otu_b112555	114081
otu_b112561	174862
otu_b11264	1131000
otu_b112654	190240
otu_b11266	144165
otu_b112665	125624
otu_b112696	130773
otu_b112707	749696
otu_b112726	183401
otu_b11284	212698
otu_b112881	289257
otu_b112898	4614
otu_b11291	544098
otu_b112933	72666
otu_b113	831328
otu_b1130	83803
otu_b11301	314749
otu_b113025	359993
otu_b113035	189129
otu_b11308	288109
otu_b113096	183045
otu_b11310	4306242
otu_b11312	575192
otu_b11316	70446
otu_b113215	179279
otu_b113272	346738
otu_b113306	183630
otu_b11332	109535
otu_b11338	247557
otu_b113397	1836848
otu_b1135	313245
otu_b11352	347382
otu_b11356	347375
otu_b113619	20151
otu_b11362	301294
otu_b113622	188213
otu_b11364	2183213
otu_b11368	4397100
otu_b113707	195865
otu_b11371	38200
otu_b11372	560465
otu_b113720	43046
otu_b113778	195095
otu_b113780	175563
otu_b113805	187932
otu_b113823	110192
otu_b11383	722895
otu_b11384	152810
otu_b113857	185391
otu_b11387	347337
otu_b113898	4093636
otu_b11395	222831
otu_b11397	572889
otu_b114	1129668
otu_b1140	654742
otu_b11401	1122225
otu_b114035	187572
otu_b114072	187518
otu_b114078	187506
otu_b11408	123001
otu_b114118	187443
otu_b114149	176511
otu_b114160	193367
otu_b11417	356760
otu_b114189	358670
otu_b11421	14035
otu_b114270	187219
otu_b11428	126283
otu_b114300	260397
otu_b11433	137766
otu_b114344	212698
otu_b11441	261139
otu_b114428	1811927
otu_b114467	157224
otu_b11447	60650
otu_b114495	183054
otu_b11450	45930
otu_b11451	321533
otu_b11452	249738
otu_b11461	297299
otu_b114647	110060
otu_b11466	336338
otu_b1147	104313
otu_b11474	335611
otu_b11476	250270
otu_b11478	184833
otu_b11489	347205
otu_b114915	40837
otu_b11493	347200
otu_b11498	4455980
otu_b115	668520
otu_b115013	174801
otu_b115073	185972
otu_b115078	318370
otu_b11509	307703
otu_b115095	1896700
otu_b115107	302746
otu_b115109	174170
otu_b11511	249311
otu_b11513	234515
otu_b115141	141050
otu_b1152	4428164
otu_b115220	185753
otu_b11535	304640
otu_b11538	215758
otu_b11549	1419
otu_b115539	187008
otu_b115576	4446763
otu_b1156	4452050
otu_b115615	195392
otu_b11567	4463108
otu_b115678	189592
otu_b11582	309790
otu_b115836	844998
otu_b11594	330948
otu_b115945	3563235
otu_b115982	187582
otu_b115985	182343
otu_b116	4444200
otu_b116043	358757
otu_b116102	186105
otu_b116123	212698
otu_b116144	184325
otu_b116286	177305
otu_b116297	149335
otu_b116300	806407
otu_b116341	4471303
otu_b116455	4170478
otu_b116630	195865
otu_b116633	183556
otu_b116657	845691
otu_b116661	183517
otu_b116763	176881
otu_b116827	1854
otu_b116835	103456
otu_b116875	729833
otu_b116907	265381
otu_b116959	701410
otu_b116983	1140833
otu_b1170	359689
otu_b117003	183011
otu_b11703	346918
otu_b117069	129401
otu_b117090	182882
otu_b1171	706728
otu_b117156	189971
otu_b117203	560873
otu_b11725	215214
otu_b11731	4371451
otu_b11732	1126866
otu_b11737	214886
otu_b11740	105964
otu_b117478	2160415
otu_b117550	363794
otu_b117600	4427688
otu_b117604	259846
otu_b11770	227663
otu_b117707	181908
otu_b117751	593908
otu_b1179	152517
otu_b117930	358100
otu_b117959	215855
otu_b11797	4464173
otu_b11799	172411
otu_b1180	861780
otu_b11800	346794
otu_b118048	755077
otu_b11807	329405
otu_b11819	346769
otu_b118191	3856408
otu_b118222	1041394
otu_b118262	181084
otu_b118289	1764594
otu_b1183	167882
otu_b118323	4306488
otu_b11834	103814
otu_b118348	624474
otu_b118364	179319
otu_b11844	745479
otu_b11849	1808
otu_b1185	4363219
otu_b11856	2582660
otu_b1186	617066
otu_b11863	147791
otu_b11864	651436
otu_b11865	2720864
otu_b11868	220242
otu_b11872	772651
otu_b11875	342380
otu_b11887	346289
otu_b11888	4442299
otu_b11892	70830
otu_b11893	27711
otu_b11899	555628
otu_b1190	367069
otu_b119026	366068
otu_b11903	101672
otu_b11909	190220
otu_b119195	174629
otu_b1192	4401984
otu_b11936	563572
otu_b119437	357853
otu_b11946	346578
otu_b11962	333951
otu_b119686	115186
otu_b119702	161946
otu_b11972	270409
otu_b119804	165346
otu_b11989	346525
otu_b119919	139817
otu_b119949	818461
otu_b11997	10666
otu_b12	365415
otu_b120	431766
otu_b12009	264507
otu_b12015	123001
otu_b12017	4389753
otu_b12027	300496
otu_b12032	4464871
otu_b12056	4330047
otu_b120709	172261
otu_b120725	4328665
otu_b12081	4348172
otu_b12091	509433
otu_b12097	338503
otu_b12099	535601
otu_b120998	359978
otu_b1210	4393662
otu_b12105	346360
otu_b12127	1123167
otu_b12135	300644
otu_b12138	216111
otu_b12145	188369
otu_b12147	4414004
otu_b12148	109455
otu_b121501	165827
otu_b12151	291017
otu_b12153	4324744
otu_b12158	4459388
otu_b1216	4404738
otu_b12160	196295
otu_b121614	942151
otu_b12166	3878646
otu_b12168	272742
otu_b121692	370183
otu_b12171	271922
otu_b12176	346267
otu_b121771	4333943
otu_b12182	322898
otu_b122	370090
otu_b12200	303623
otu_b12202	82669
otu_b1221	386273
otu_b12211	1050284
otu_b12212	1927234
otu_b12217	567236
otu_b12218	572872
otu_b1222	3505031
otu_b12226	1106090
otu_b12234	196370
otu_b12236	332784
otu_b1225	248016
otu_b12256	4321324
otu_b1227	1068572
otu_b12276	231309
otu_b122785	137353
otu_b1228	190938
otu_b122804	166079
otu_b122815	172413
otu_b122837	826389
otu_b12284	176071
otu_b122842	1109454
otu_b12285	564678
otu_b122850	173673
otu_b122855	163836
otu_b12286	277200
otu_b122866	170561
otu_b122886	162430
otu_b122894	4433029
otu_b122897	171480
otu_b12294	4383820
otu_b122966	836308
otu_b12299	185610
otu_b12302	97294
otu_b123031	171480
otu_b123066	172564
otu_b123068	115186
otu_b123078	2160415
otu_b123088	73591
otu_b1232	184252
otu_b12320	260303
otu_b123201	163430
otu_b12323	4477937
otu_b123238	917635
otu_b123256	838467
otu_b123336	251387
otu_b12334	228238
otu_b123345	169428
otu_b123368	824146
otu_b12340	312588
otu_b12341	4335825
otu_b123410	162595
otu_b123416	169921
otu_b123422	170798
otu_b123423	4373060
otu_b123441	832811
otu_b123448	170020
otu_b123470	3983005
otu_b12348	313946
otu_b123490	129659
otu_b123499	171681
otu_b12352	188276
otu_b123535	4371786
otu_b12355	4396454
otu_b12358	524439
otu_b123590	171480
otu_b123600	165888
otu_b12362	815828
otu_b123663	344394
otu_b123765	162823
otu_b123777	811257
otu_b12378	985239
otu_b12380	126283
otu_b12383	345978
otu_b123832	164761
otu_b12384	173192
otu_b123934	171480
otu_b123935	109535
otu_b12394	351849
otu_b12399	4479317
